Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
192,Aaron Gordon,PF,26,DEN,48,48,31.8,5.6,10.9,0.516,1.1,3.5,0.329,4.5,7.4,0.605,0.569,2.2,3,0.733,1.7,3.9,5.6,2.6,0.7,0.6,1.8,1.9,14.6,16409091
227,Aaron Henry,SF,22,PHI,6,0,2.8,0.2,0.8,0.2,0,0.2,0,0.2,0.7,0.25,0.2,0,0,,0,0.2,0.2,0,0,0.3,0.3,0.3,0.3,NA
238,Aaron Holiday,PG,25,WAS,40,13,15.9,2.4,5.1,0.466,0.6,1.6,0.349,1.8,3.5,0.518,0.52,0.6,0.8,0.806,0.2,1.4,1.6,1.9,0.5,0.2,0.9,1.5,5.9,3980551
398,Aaron Nesmith,SF,22,BOS,38,1,10.1,1.2,3.2,0.358,0.4,2.1,0.215,0.7,1.2,0.614,0.427,0.3,0.4,0.813,0.2,1.4,1.6,0.3,0.3,0.1,0.6,1.2,3.1,3631200
395,Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4,2000000
390,Ade Murkey,SG,24,SAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,NA
97,Ahmad Caver,PG,25,IND,1,0,1,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2,NA
244,Al Horford,C,35,BOS,46,46,28.5,3.8,8.7,0.436,1.2,4,0.295,2.6,4.7,0.556,0.504,1.3,1.6,0.836,1.6,5.9,7.5,3.3,0.6,1.3,1,1.9,10.1,27000000
84,Alec Burks,SG,30,NYK,52,20,26.7,3.3,8.6,0.382,1.8,4.6,0.397,1.5,4.1,0.365,0.487,2.7,3.3,0.83,0.6,3.7,4.3,2.6,1.1,0.3,1,2.3,11.1,9536000
168,Aleem Ford,SF,24,ORL,5,0,14.8,1.2,4,0.3,0.4,3,0.133,0.8,1,0.8,0.35,0,0,,0.4,2.6,3,0.4,0.2,0,0.8,1.4,2.8,NA
439,Aleksej Pokusevski,PF,20,OKC,37,2,15.4,2,5.5,0.366,0.6,2.5,0.239,1.4,3,0.473,0.421,0.2,0.4,0.5,1,3.2,4.2,1.2,0.5,0.5,1.2,1.2,4.8,3113160
95,Alex Caruso,SG,27,CHI,28,9,27.7,2.8,6.5,0.429,1.1,3.1,0.345,1.7,3.4,0.505,0.511,1.7,2.1,0.814,0.9,3,3.9,3.9,1.9,0.4,1.4,2.4,8.4,8604651
321,Alex Len,C,28,SAC,32,9,16.8,2.5,4.8,0.526,0.2,0.6,0.316,2.3,4.2,0.556,0.546,1.1,1.8,0.643,1.5,3.2,4.7,1.3,0.3,0.8,1.2,2.8,6.3,3731707
362,Alfonzo McKinnie,SF,29,CHI,16,3,12.8,1.5,3.8,0.393,0.6,1.7,0.333,0.9,2.1,0.441,0.467,0.1,0.4,0.167,0.8,1.2,2,0.3,0.1,0.2,0.4,1.6,3.6,1090007
272,Alize Johnson,PF,25,TOT,19,0,7.3,0.7,1.5,0.483,0,0.2,0,0.7,1.3,0.56,0.483,0.2,0.4,0.5,1.1,1.4,2.5,0.4,0.2,0,0.6,0.8,1.7,705598
272,Alize Johnson,PF,25,CHI,16,0,7.6,0.8,1.4,0.522,0,0.1,0,0.8,1.3,0.571,0.522,0.3,0.4,0.571,1,1.3,2.3,0.5,0.2,0,0.5,0.9,1.8,705598
272,Alize Johnson,PF,25,WAS,3,0,6,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0.3,0,1.7,2.3,4,0,0,0,1,0,1.3,705598
107,Amir Coffey,SG,24,LAC,42,20,22,2.8,6,0.458,1.4,3.6,0.391,1.4,2.4,0.559,0.575,1.5,1.7,0.887,0.5,2.6,3.1,1.6,0.5,0.2,0.5,1.3,8.4,NA
148,Andre Drummond,C,28,PHI,48,12,18.5,2.6,4.9,0.538,0,0,0,2.6,4.8,0.543,0.538,0.9,1.7,0.512,2.8,6.1,8.9,1.9,1.1,0.9,1.6,2.5,6.1,2401537
256,Andre Iguodala,SF,38,GSW,25,0,20.5,1.6,4,0.386,0.5,2.4,0.217,1,1.6,0.634,0.45,0.5,0.6,0.813,0.8,2.6,3.4,3.9,0.8,0.8,0.9,1,4.2,2641691
125,Anthony Davis,C,28,LAL,33,33,35.4,9.5,17.9,0.529,0.3,1.9,0.175,9.2,16,0.571,0.538,4.4,6.1,0.726,2.9,7.2,10.2,2.8,1.3,2.2,2.2,2.6,23.7,35361360
153,Anthony Edwards,SG,20,MIN,47,47,35,8,18.1,0.441,3.2,8.8,0.36,4.8,9.3,0.517,0.528,3.1,3.8,0.811,0.9,4,4.9,3.6,1.6,0.7,2.9,2.3,22.2,10245480
